Source,Target,Weight,Airport Code_Source,Airport Code_Target,Airport Name_Source,Airport Name_Target,US/INT_Source,US/Int_Target
1,47,1,06A,ADQ,Unkown,Kodiak Airport,Unknown,True
1,832,7,06A,KOZ,Unkown,Unkown,Unknown,Unknown
2,679,3,08A,HOM,Unkown,Homer Airport,Unknown,True
3,424,5,1G4,DQS,Unkown,Unkown,Unknown,Unknown
3,1688,14137,1G4,VGT,Unkown,North Las Vegas Airport,Unknown,True
4,685,8,6B0,HPN,Unkown,Westchester County Airport,Unknown,True
6,47,8,A02,ADQ,Unkown,Kodiak Airport,Unknown,True
7,679,413,A03,HOM,Unkown,Homer Airport,Unknown,True
8,1217,2,A07,OTZ,Unkown,Ralph Wien Memorial Airport,Unknown,True
8,1729,2,A07,WLK,Unkown,Selawik Airport,Unknown,True
9,91,2,A12,ANI,Unkown,Aniak Airport,Unknown,True
11,679,416,A23,HOM,Unkown,Homer Airport,Unknown,True
11,1494,2,A23,SOV,Unkown,Seldovia Airport,Unknown,True
12,227,8,A26,BRW,Unkown,Wiley Post Will Rogers Memorial Airport,Unknown,True
12,505,11,A26,FAI,Unkown,Fairbanks International Airport,Unknown,True
12,509,1,A26,FBK,Unkown,Ladd AAF Airfield,Unknown,True
13,505,96,A27,FAI,Unkown,Fairbanks International Airport,Unknown,True
15,47,41,A29,ADQ,Unkown,Kodiak Airport,Unknown,True
16,844,1,A37,KSM,Unkown,St Mary's Airport,Unknown,True
17,227,6,A40,BRW,Unkown,Wiley Post Will Rogers Memorial Airport,Unknown,True
19,679,17,A52,HOM,Unkown,Homer Airport,Unknown,True
20,70,480,A57,AKN,Unkown,King Salmon Airport,Unknown,True
20,88,8,A57,ANC,Unkown,Ted Stevens Anchorage International Airport,Unknown,True
20,464,8,A57,EGX,Unkown,Egegik Airport,Unknown,True
20,1131,2,A57,NNK,Unkown,Unkown,Unknown,Unknown
20,1262,12,A57,PIP,Unkown,Pilot Point Airport,Unknown,True
20,1652,1,A57,UGB,Unkown,Unkown,Unknown,Unknown
20,1739,2,A57,WSN,Unkown,South Naknek Nr 2 Airport,Unknown,True
21,679,9,A71,HOM,Unkown,Homer Airport,Unknown,True
22,679,37,A72,HOM,Unkown,Homer Airport,Unknown,True
23,679,1,A74,HOM,Unkown,Homer Airport,Unknown,True
24,679,32,A83,HOM,Unkown,Homer Airport,Unknown,True
27,505,6,AA8,FAI,Unkown,Fairbanks International Airport,Unknown,True
27,1416,1,AA8,SCC,Unkown,Deadhorse Airport,Unknown,True
29,78,95,ABE,ALO,Lehigh Valley International Airport,Waterloo Regional Airport,True,True
29,114,37483,ABE,ATL,Lehigh Valley International Airport,Hartsfield Jackson Atlanta International Airport,True,True
29,117,47,ABE,ATW,Lehigh Valley International Airport,Appleton International Airport,True,True
29,134,16,ABE,AZO,Lehigh Valley International Airport,Kalamazoo Battle Creek International Airport,True,True
29,169,40,ABE,BHM,Lehigh Valley International Airport,Birmingham-Shuttlesworth International Airport,True,True
29,173,51,ABE,BIF,Lehigh Valley International Airport,Biggs Army Air Field (Fort Bliss),True,True
29,206,33,ABE,BNA,Lehigh Valley International Airport,Nashville International Airport,True,True
29,296,23,ABE,CHS,Lehigh Valley International Airport,Charleston Air Force Base-International Airport,True,True
29,300,22,ABE,CID,Lehigh Valley International Airport,The Eastern Iowa Airport,True,True
29,311,1341,ABE,CLE,Lehigh Valley International Airport,Cleveland Hopkins International Airport,True,True
29,317,61654,ABE,CLT,Lehigh Valley International Airport,Charlotte Douglas International Airport,True,True
29,381,30,ABE,DAY,Lehigh Valley International Airport,James M Cox Dayton International Airport,True,True
29,391,151,ABE,DFW,Lehigh Valley International Airport,Dallas Fort Worth International Airport,True,True
29,403,15,ABE,DLH,Lehigh Valley International Airport,Duluth International Airport,True,True
29,432,107,ABE,DSM,Lehigh Valley International Airport,Des Moines International Airport,True,True
29,435,44923,ABE,DTW,Lehigh Valley International Airport,Detroit Metropolitan Wayne County Airport,True,True
29,489,57,ABE,ERI,Lehigh Valley International Airport,Erie International Tom Ridge Field,True,True
29,526,7989,ABE,FLL,Lehigh Valley International Airport,Fort Lauderdale Hollywood International Airport,True,True
29,534,10,ABE,FNT,Lehigh Valley International Airport,Bishop International Airport,True,True
29,576,10,ABE,GCM,Lehigh Valley International Airport,Owen Roberts International Airport,True,False
29,609,2,ABE,GPT,Lehigh Valley International Airport,Gulfport Biloxi International Airport,True,True
29,610,22,ABE,GRB,Lehigh Valley International Airport,Austin Straubel International Airport,True,True
29,619,153,ABE,GSP,Lehigh Valley International Airport,Greenville Spartanburg International Airport,True,True
29,691,12,ABE,HSV,Lehigh Valley International Airport,Huntsville International Carl T Jones Field,True,True
29,709,28955,ABE,IAD,Lehigh Valley International Airport,Washington Dulles International Airport,True,True
29,716,383,ABE,ICT,Lehigh Valley International Airport,Wichita Eisenhower National Airport,True,True
29,727,2,ABE,ILM,Lehigh Valley International Airport,Wilmington International Airport,True,True
29,731,99,ABE,IND,Lehigh Valley International Airport,Indianapolis International Airport,True,True
29,760,89,ABE,JAX,Lehigh Valley International Airport,Jacksonville International Airport,True,True
29,766,142,ABE,JFK,Lehigh Valley International Airport,John F Kennedy International Airport,True,True
29,880,75,ABE,LBE,Lehigh Valley International Airport,Arnold Palmer Regional Airport,True,True
29,899,50,ABE,LEX,Lehigh Valley International Airport,Blue Grass Airport,True,True
29,902,1214,ABE,LGA,Lehigh Valley International Airport,La Guardia Airport,True,True
29,918,22,ABE,LIT,Lehigh Valley International Airport,Bill & Hillary Clinton National Airport/Adams Field,True,True
29,978,30,ABE,MCI,Lehigh Valley International Airport,Kansas City International Airport,True,True
29,982,71890,ABE,MCO,Lehigh Valley International Airport,Orlando International Airport,True,True
29,989,9,ABE,MDW,Lehigh Valley International Airport,Chicago Midway International Airport,True,True
29,994,22,ABE,MEM,Lehigh Valley International Airport,Memphis International Airport,True,True
29,1022,79,ABE,MKE,Lehigh Valley International Airport,General Mitchell International Airport,True,True
29,1029,1,ABE,MLI,Lehigh Valley International Airport,Quad City International Airport,True,True
29,1066,47,ABE,MSN,Lehigh Valley International Airport,Dane County Regional Truax Field,True,True
29,1101,8842,ABE,MYR,Lehigh Valley International Airport,Myrtle Beach International Airport,True,True
29,1109,146,ABE,NAS,Lehigh Valley International Airport,Lynden Pindling International Airport,True,False
29,1200,72466,ABE,ORD,Lehigh Valley International Airport,Chicago O'Hare International Airport,True,True
29,1246,1457,ABE,PGD,Lehigh Valley International Airport,Charlotte County Airport,True,True
29,1252,46468,ABE,PHL,Lehigh Valley International Airport,Philadelphia International Airport,True,True
29,1258,20089,ABE,PIE,Lehigh Valley International Airport,St Petersburg Clearwater International Airport,True,True
29,1264,2,ABE,PIT,Lehigh Valley International Airport,Pittsburgh International Airport,True,True
29,1270,13,ABE,PLS,Lehigh Valley International Airport,Providenciales Airport,True,False
29,1313,2,ABE,PUB,Lehigh Valley International Airport,Pueblo Memorial Airport,True,True
29,1359,32,ABE,RIC,Lehigh Valley International Airport,Richmond International Airport,True,True
29,1374,39,ABE,ROA,Lehigh Valley International Airport,Roanoke–Blacksburg Regional Airport,True,True
29,1391,151,ABE,RSW,Lehigh Valley International Airport,Southwest Florida International Airport,True,True
29,1435,3413,ABE,SFB,Lehigh Valley International Airport,Orlando Sanford International Airport,True,True
29,1460,1,ABE,SJO,Lehigh Valley International Airport,Juan Santamaria International Airport,True,False
29,1463,1,ABE,SKB,Lehigh Valley International Airport,Robert L. Bradshaw International Airport,True,False
29,1504,2,ABE,SRQ,Lehigh Valley International Airport,Sarasota Bradenton International Airport,True,True
29,1517,2,ABE,STL,Lehigh Valley International Airport,St Louis Lambert International Airport,True,True
29,1628,37,ABE,TUL,Lehigh Valley International Airport,Tulsa International Airport,True,True
29,1664,506,ABE,UTM,Lehigh Valley International Airport,Tunica Municipal Airport,True,True
29,1700,2,ABE,VPS,Lehigh Valley International Airport,Destin-Ft Walton Beach Airport,True,True
29,1837,2321,ABE,YYZ,Lehigh Valley International Airport,Lester B. Pearson International Airport,True,False
30,391,71272,ABI,DFW,Abilene Regional Airport,Dallas Fort Worth International Airport,True,True
30,478,87,ABI,ELP,Abilene Regional Airport,El Paso International Airport,True,True
30,485,721,ABI,ENV,Abilene Regional Airport,Wendover Airport,True,True
30,590,41,ABI,GGG,Abilene Regional Airport,East Texas Regional Airport,True,True
30,719,993,ABI,IFP,Abilene Regional Airport,Unkown,True,Unknown
30,978,98,ABI,MCI,Abilene Regional Airport,Kansas City International Airport,True,True
30,1461,49,ABI,SJT,Abilene Regional Airport,San Angelo Regional Mathis Field,True,True
30,1470,134,ABI,SLC,Abilene Regional Airport,Salt Lake City International Airport,True,True
30,1482,3,ABI,SMO,Abilene Regional Airport,Santa Monica Municipal Airport,True,True
30,1664,200,ABI,UTM,Abilene Regional Airport,Tunica Municipal Airport,True,True
31,185,7,ABL,BKC,Ambler Airport,Buckland Airport,True,True
31,505,9,ABL,FAI,Ambler Airport,Fairbanks International Airport,True,True
31,600,9,ABL,GLV,Ambler Airport,Golovin Airport,True,True
31,712,32,ABL,IAN,Ambler Airport,Bob Baker Memorial Airport,True,True
31,1165,47,ABL,OBU,Ambler Airport,Kobuk Airport,True,True
31,1207,68,ABL,ORV,Ambler Airport,Robert (Bob) Curtis Memorial Airport,True,True
31,1217,1500,ABL,OTZ,Ambler Airport,Ralph Wien Memorial Airport,True,True
31,1349,63,ABL,RDB,Ambler Airport,Red Dog Airport,True,True
31,1446,247,ABL,SHG,Ambler Airport,Shungnak Airport,True,True
31,1729,70,ABL,WLK,Ambler Airport,Selawik Airport,True,True
31,1742,41,ABL,WTK,Ambler Airport,Noatak Airport,True,True
32,75,117,ABQ,ALB,Albuquerque International Sunport,Albany International Airport,True,True
32,76,374,ABQ,ALM,Albuquerque International Sunport,Alamogordo White Sands Regional Airport,True,True
32,82,109,ABQ,AMA,Albuquerque International Sunport,Rick Husband Amarillo International Airport,True,True
32,114,135930,ABQ,ATL,Albuquerque International Sunport,Hartsfield Jackson Atlanta International Airport,True,True
32,123,14551,ABQ,AUS,Albuquerque International Sunport,Austin Bergstrom International Airport,True,True
32,145,114,ABQ,BDL,Albuquerque International Sunport,Bradley International Airport,True,True
32,158,2,ABQ,BFL,Albuquerque International Sunport,Meadows Field,True,True
32,169,614,ABQ,BHM,Albuquerque International Sunport,Birmingham-Shuttlesworth International Airport,True,True
32,176,6,ABQ,BIL,Albuquerque International Sunport,Billings Logan International Airport,True,True
32,206,3377,ABQ,BNA,Albuquerque International Sunport,Nashville International Airport,True,True
32,211,679,ABQ,BOI,Albuquerque International Sunport,Boise Air Terminal/Gowen Field,True,True
32,215,939,ABQ,BOS,Albuquerque International Sunport,General Edward Lawrence Logan International Airport,True,True
32,216,50,ABQ,BPT,Albuquerque International Sunport,Southeast Texas Regional Airport,True,True
32,239,66,ABQ,BUF,Albuquerque International Sunport,Buffalo Niagara International Airport,True,True
32,240,2453,ABQ,BUR,Albuquerque International Sunport,Bob Hope Airport,True,True
32,246,67548,ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International Thurgood Marshall Airport,True,True
32,311,218,ABQ,CLE,Albuquerque International Sunport,Cleveland Hopkins International Airport,True,True
32,317,554,ABQ,CLT,Albuquerque International Sunport,Charlotte Douglas International Airport,True,True
32,321,10,ABQ,CMH,Albuquerque International Sunport,John Glenn Columbus International Airport,True,True
32,327,2451,ABQ,CNM,Albuquerque International Sunport,Cavern City Air Terminal,True,True
32,334,300,ABQ,COS,Albuquerque International Sunport,City of Colorado Springs Municipal Airport,True,True
32,343,20,ABQ,CRP,Albuquerque International Sunport,Corpus Christi International Airport,True,True
32,355,58,ABQ,CUU,Albuquerque International Sunport,General Roberto Fierro Villalobos International Airport,True,False
32,356,797,ABQ,CVG,Albuquerque International Sunport,Cincinnati Northern Kentucky International Airport,True,True
32,358,2278,ABQ,CVN,Albuquerque International Sunport,Clovis Municipal Airport,True,True
32,379,184151,ABQ,DAL,Albuquerque International Sunport,Dallas Love Field,True,True
32,381,255,ABQ,DAY,Albuquerque International Sunport,James M Cox Dayton International Airport,True,True
32,383,127,ABQ,DCA,Albuquerque International Sunport,Ronald Reagan Washington National Airport,True,True
32,389,311797,ABQ,DEN,Albuquerque International Sunport,Denver International Airport,True,True
32,391,292616,ABQ,DFW,Albuquerque International Sunport,Dallas Fort Worth International Airport,True,True
32,435,1694,ABQ,DTW,Albuquerque International Sunport,Detroit Metropolitan Wayne County Airport,True,True
32,452,84,ABQ,ECP,Albuquerque International Sunport,Northwest Florida Beaches International Airport,True,True
32,478,32815,ABQ,ELP,Albuquerque International Sunport,El Paso International Airport,True,True
32,485,726,ABQ,ENV,Albuquerque International Sunport,Wendover Airport,True,True
32,494,143,ABQ,EUG,Albuquerque International Sunport,Mahlon Sweet Field,True,True
32,500,327,ABQ,EWR,Albuquerque International Sunport,Newark Liberty International Airport,True,True
32,507,186,ABQ,FAT,Albuquerque International Sunport,Fresno Yosemite International Airport,True,True
32,526,1896,ABQ,FLL,Albuquerque International Sunport,Fort Lauderdale Hollywood International Airport,True,True
32,585,1645,ABQ,GEG,Albuquerque International Sunport,Spokane International Airport,True,True
32,595,70,ABQ,GJT,Albuquerque International Sunport,Grand Junction Regional Airport,True,True
32,612,7,ABQ,GRK,Albuquerque International Sunport,Robert Gray  Army Air Field Airport,True,True
32,622,4,ABQ,GTF,Albuquerque International Sunport,Great Falls International Airport,True,True
32,677,328,ABQ,HOB,Albuquerque International Sunport,Lea County Regional Airport,True,True
32,683,75185,ABQ,HOU,Albuquerque International Sunport,William P Hobby Airport,True,True
32,685,39,ABQ,HPN,Albuquerque International Sunport,Westchester County Airport,True,True
32,686,296,ABQ,HRL,Albuquerque International Sunport,Valley International Airport,True,True
32,691,8,ABQ,HSV,Albuquerque International Sunport,Huntsville International Carl T Jones Field,True,True
32,709,37746,ABQ,IAD,Albuquerque International Sunport,Washington Dulles International Airport,True,True
32,711,102881,ABQ,IAH,Albuquerque International Sunport,George Bush Intercontinental Houston Airport,True,True
32,716,58,ABQ,ICT,Albuquerque International Sunport,Wichita Eisenhower National Airport,True,True
32,718,32,ABQ,IDA,Albuquerque International Sunport,Idaho Falls Regional Airport,True,True
32,719,1493,ABQ,IFP,Albuquerque International Sunport,Unkown,True,Unknown
32,731,420,ABQ,IND,Albuquerque International Sunport,Indianapolis International Airport,True,True
32,749,486,ABQ,ISP,Albuquerque International Sunport,Long Island Mac Arthur Airport,True,True
32,757,2,ABQ,IYK,Albuquerque International Sunport,Inyokern Airport,True,True
32,760,2,ABQ,JAX,Albuquerque International Sunport,Jacksonville International Airport,True,True
32,766,25,ABQ,JFK,Albuquerque International Sunport,John F Kennedy International Airport,True,True
32,874,145,ABQ,LAR,Albuquerque International Sunport,Laramie Regional Airport,True,True
32,875,158922,ABQ,LAS,Albuquerque International Sunport,McCarran International Airport,True,True
32,877,145683,ABQ,LAX,Albuquerque International Sunport,Los Angeles International Airport,True,True
32,879,22776,ABQ,LBB,Albuquerque International Sunport,Lubbock Preston Smith International Airport,True,True
32,902,2526,ABQ,LGA,Albuquerque International Sunport,La Guardia Airport,True,True
32,903,43,ABQ,LGB,Albuquerque International Sunport,Long Beach /Daugherty Field/ Airport,True,True
32,918,413,ABQ,LIT,Albuquerque International Sunport,Bill & Hillary Clinton National Airport/Adams Field,True,True
